"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence ISO (1)";"Contenu ISO (1)";"Référence ISO (2)";"Contenu ISO (2)";"Référence ISO (3)";"Contenu ISO (3)";"Référence ISO (4)";"Contenu ISO (4)";"Référence ISO (5)";"Contenu ISO (5)";"Référence ISO (6)";"Contenu ISO (6)";"Référence ISO (7)";"Contenu ISO (7)"
"2.B.5-EI/EE";"L’entité décline, en tant que de besoin, la PSSI en politiques de sécurité relatives à des thèmes précis permettant de couvrir tout ou partie des présentes mesures.
En particulier, l’entité définit et met en œuvre, au minimum, des politiques de sécurité en matière :
•	D’usage du chiffrement ;
•	De contrôle d’accès physique et logique ;
•	De revue de l’application des mesures de sécurité mises en œuvre ;
•	De gestion des comptes.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.1 Politiques de sécurité de l'information";"5.1 Politiques de sécurité de l'information";;;;;;;;;;;;
"2.C.1-EI/EE";"Pour chaque système d’information, l’entité réalise et maintient à jour une analyse de la conformité du système d’information vis-à-vis des mesures du présent référentiel.
L’analyse de la conformité identifie les éventuels écarts entre les mesures mises en œuvre par l’entité et les mesures prévues dans le présent référentiel.
Cette analyse tient compte de la PSSI de l’entité.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle";"élevé";"En application de la directive NIS 2, les organisations doivent mettre en œuvre les obligations en matière de gestion des risques sur l'ensemble de leurs systèmes d'information. Dans le cas de l'ISO 27001, l'application des mesures de gestion des risques concerne prioritairement les systèmes d'information considérés dans le domaine d'application du système de management de la sécurité de l'information (SMSI).
Ainsi, une organisation ayant décidé d'instaurer un SMSI sur un domaine d'application ne couvrant pas l'ensemble de ses systèmes d'information devra, dans le cadre de la mise en œuvre de NIS 2, également s'intéresser à ses systèmes d'information qui ne rentreraient pas dans ce domaine d'application.";"27002:2022-5.36 Conformité aux politiques, règles et normes de sécurité de l'information";"5.36 Conformité aux politiques, règles et normes de sécurité de l'information";;;;;;;;;;;;
"2.C.2-EI/EE";"L’entité établit, met en œuvre et suit dans la durée un plan d’action adapté à la structure et à l’environnement dans lequel elle opère afin de corriger ces écarts dans les meilleurs délais.
La responsabilité de ce plan d’action est déterminée au regard du cadre de gouvernance de la sécurité numérique mis en place.
Ce plan d’action prévoit, au minimum, une échéance raisonnable au regard du besoin de sécurisation du système d’information et un responsable pour la réalisation de chaque action.
Ce plan d’action ne préjuge pas de l’appréciation du respect de ses obligations légales et réglementaires lors d’un contrôle de l’ANSSI.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.36 Conformité aux politiques, règles et normes de sécurité de l'information";"5.36 Conformité aux politiques, règles et normes de sécurité de l'information";;;;;;;;;;;;
"2.C.3-EI/EE";"Lorsque l’entité n’est pas tenue de mettre en œuvre le référentiel mais qu’elle décide de l’appliquer pour démontrer sa conformité aux objectifs de sécurité, et qu’elle applique une ou plusieurs mesures alternatives aux moyens acceptables de conformité du référentiel, elle en précise les justifications dans son analyse de la conformité. L’ANSSI peut apprécier la pertinence de la mesure retenue pour satisfaire la mesure du référentiel non retenue lors d’un contrôle.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Gestion de la conformité";"EntiteImportante, EntiteEssentielle";"faible";"Dans les termes actuels de la transposition nationale de NIS 2, les entités importantes comme essentielles ne sont pas tenues d'appliquer le référentiel NIS 2, bien que sa mise en œuvre permette à ces entités de s'en prévaloir auprès de l'ANSSI en cas de contrôle.
Ainsi, ces entités, dans le cadre de leur analyse de la conformité, précisent les mesures applicables (non issues du référentiel NIS 2) leur permettant de se conformer aux objectifs prévus dans la transposition nationale.";;;;;;;;;;;;;;
"3.A.1-EI/EE";"L’entité définit et maintient à jour une cartographie de l’écosystème dans lequel ses systèmes d’information sont mis en œuvre et contenant, au minimum, les informations suivantes :
•	La liste des prestataires et fournisseurs informatiques contribuant à la réalisation des activités ou des services de l’entité et avec lesquels il existe une relation de droit ou de fait (par exemple : prestataire d’infogérance, matériels et services fournis par la maison mère à une filiale, fournisseur de matériel informatique)
•	La liste des interconnexions avec les systèmes d’information de l’entité.
(Cette liste peut s’appuyer sur les démarches déjà réalisées par l’entité pour réaliser une telle liste. Par exemple, la déclaration de sous-traitance réalisée dans le cadre d’un contrat de la commande publique).";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Cartographie de l'écosystème";"EntiteImportante, EntiteEssentielle";"moyen";"Ni la norme ISO 27001, ni la norme 27002 ne prévoit explicitement la réalisation d'une cartographie de l'écosystème. Cependant, si l'organisation décide de recourir à la norme ISO 27005 ou la méthodologie EBIOS Risk Manager pour réaliser l'analyse de risques que l'ISO 27001 lui impose, alors l'organisation sera amenée à constituer une cartographie de son écosystème.";"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27002:2022-5.19 Sécurité de l'information dans les relations avec les fournisseurs";"5.19 Sécurité de l'information dans les relations avec les fournisseurs";"27002:2022-5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";;;;;;
"3.A.2-EI/EE";"L’entité renseigne et maintient à jour les coordonnées d’au moins un point de contact pour chaque entrée figurant dans la cartographie de l’écosystème.";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Cartographie de l'écosystème";"EntiteImportante, EntiteEssentielle";"faible";"Ni la norme ISO 27001, ni la norme 27002 ne demande le recueil et le maintien à jour des coordonnées de point de contact pour chaque acteur constituant l'écosystème de l'organisation.";;;;;;;;;;;;;;
"3.B.1-EI/EE";"En cas de recours à un prestataire ou à un fournisseur informatique, l’entité s’assure que la prestation est conforme aux obligations auxquelles l’entité est assujettie, notamment en matière de gestion des risques qui menacent la sécurité de leurs réseaux et systèmes d’information et de notification des incidents importants et s’assure de disposer des assurances contractuelles de cette conformité (par exemple : plan d’assurance sécurité, charte de télémaintenance, mise en place d’indicateurs de suivi de la conformité).";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Sécurité numérique dans les contrats avec les prestataires et fournisseurs informatiques";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.19 Sécurité de l'information dans les relations avec les fournisseurs";"5.19 Sécurité de l'information dans les relations avec les fournisseurs";"27002:2022-5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"5.20 La sécurité de l'information dans les accords conclus avec les fournisseurs";"27002:2022-5.21 Gestion de la sécurité de l'information dans la chaîne d'approvisionnement TIC";"5.21 Gestion de la sécurité de l'information dans la chaîne d'approvisionnement TIC";;;;;;;;
"3.B.2-EI/EE";"L'entité vérifie périodiquement la conformité de la prestation aux obligations auxquelles l’entité est assujettie notamment en matière de gestion des risques qui menacent la sécurité de leurs réseaux et systèmes d’information et de notification des incidents importants. L’entité peut s’appuyer sur des audits dont les conditions sont précisées par les Moyens acceptables de conformité 17.2-EE, 17.4-EE et 17.5-EE relatifs à l’audit.";"Objectif de sécurité 3: Maîtrise de l'écosystème";"Sécurité numérique dans les contrats avec les prestataires et fournisseurs informatiques";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.22 Surveillance, révision et gestion des changements des services fournisseurs";"5.22 Surveillance, révision et gestion des changements des services fournisseurs";;;;;;;;;;;;
"4.1-EI/EE";"L'entité définit et met en œuvre une charte d'usage des systèmes d'information, et la rend opposable à chacun des utilisateurs de ces systèmes d'information.
Cette charte peut prévoir des dispositions spécifiques pour les administrateurs.
Cette charte peut également couvrir les systèmes d'information pour lesquels l'entité a décidé de ne pas appliquer les objectifs de sécurité.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle";"moyen";"Les normes ISO 27001 et ISO 27002 prévoient plusieurs mesures sur la sensibilisation des utilisateurs des SI et l'utilisation correcte des informations et autres actifs associés, mais pas sur l'adoption d'une charte d'usage des SI. ";"27001:2022-7.3 Sensibilisation";"7.3 Sensibilisation";"27002:2022-5.10 Utilisation correcte des informations et autres actifs associés";"5.10 Utilisation correcte des informations et autres actifs associés";"27002:2022-6.2 Termes et conditions du contrat de travail";"6.2 Termes et conditions du contrat de travail";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";;;;;;
"4.2-EI/EE";"L’entité définit et met en œuvre un programme de sensibilisation à la sécurité numérique de l’ensemble des utilisateurs.
Ce programme doit comporter des actions tout au long de la présence des utilisateurs dans l’entité.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-7.3 Sensibilisation";"7.3 Sensibilisation";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";;;;;;;;;;
"4.3-EE";"L’entité prévoit des clauses de sécurité dans ses contrats de travail (par exemple : clauses de confidentialité de nature à garantir la confidentialité des informations auxquelles les salariés ont accès au cours de leur contrat et à l’issu de celui-ci).";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteEssentielle";"élevé";;"27002:2022-6.2 Termes et conditions du contrat de travail";"6.2 Termes et conditions du contrat de travail";"27002:2022-6.6 Accords de confidentialité ou de non-divulgation";"6.6 Accords de confidentialité ou de non-divulgation";;;;;;;;;;
"4.4-EI/EE";"L’entité définit et met en œuvre un processus de gestion des arrivées, des départs et des changements de fonction des personnels et des tiers accédant aux systèmes d’information. Ce processus prévoit :
•	La prise de connaissance des règles de sécurité en vigueur lors leur arrivée ;
•	L’attribution des accès appropriés lors de leur arrivée ;
•	La mise à jour des accès lors d’un changement de fonction ;
•	Lors du départ, la restitution de l’ensemble du matériel qui a été mis à disposition et la désactivation de l’ensemble des accès logiques aux systèmes d’information et physiques aux locaux et salles.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle";"élevé";"Les normes ISO 27001 et ISO 27002 prévoient diverses mesures permettant de limiter les risques liés au départ d'un collaborateur, mais n'imposent pas la mise en place d'un processus global de gestion des arrivées et départs dans l'organisation au sein duquel l'ensemble de ces préoccupations seraient traitées.";"27001:2022-7.3 Sensibilisation";"7.3 Sensibilisation";"27002:2022-5.11 Restitution des actifs";"5.11 Restitution des actifs";"27002:2022-5.16 Gestion des identités";"5.16 Gestion des identités";"27002:2022-5.17 Informations d'authentification";"5.17 Informations d'authentification";"27002:2022-5.18 Droits d'accès";"5.18 Droits d'accès";"27002:2022-6.5 Responsabilités après la fin ou le changement d’un emploi";"6.5 Responsabilités après la fin ou le changement d’un emploi";;
"4.5-EI/EE";"L’entité définit et met en œuvre, pour les fonctions assumant des responsabilités dans le domaine du numérique, un programme de formations dédiées à la sécurité numérique adapté à leurs responsabilités.";"Objectif de sécurité 4: Prise en compte de la sécurité numérique dans la gestion des ressources humaines";"Sécurité des ressources humaines";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-7.2 Compétences";"7.2 Compétences";"27001:2022-7.3 Sensibilisation";"7.3 Sensibilisation";"27002:2022-6.3 Sensibilisation, enseignement et formation en sécurité de l'information";"6.3 Sensibilisation, enseignement et formation en sécurité de l'information";;;;;;;;
"5.A.1-EI/EE";"L’entité élabore et maintient à jour au moins une cartographie de ses systèmes d’information dont le niveau de détail est suffisant pour lui permettre :
o	d’assurer le maintien en condition opérationnelles et de sécurité de ces systèmes (par exemple : être capable d’identifier les ressources matérielles ou logicielles vulnérables suite à la publication d’un bulletin d’alerte) ;
o	de pouvoir réagir sans retard injustifié à un incident de sécurité affectant ces systèmes d’information (par exemple : être capable d’identifier les ressources matérielles ou logicielles affectées par un incident de sécurité et ainsi limiter les conséquences de l’incident).
Cette cartographie peut s’appuyer sur les recommandations de l’autorité nationale de sécurité des systèmes d’information en matière de cartographie.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Cartographie des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-5.9 Inventaire des informations et autres actifs associés";"5.9 Inventaire des informations et autres actifs associés";;;;;;;;;;;;
"5.B.1-EE";"L’entité élabore, met en œuvre et maintient à jour une procédure de maintien en conditions opérationnelle et de sécurité des ressources matérielles et logicielles de ses systèmes d’information.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";;"élevé";"Les normes ISO 27001 et ISO 27002 prévoient diverses mesures contribuant au maintien en condition opérationnelle et de sécurité mais n'imposent pas la mise en place d'un processus global.
";"27002:2022-5.37 Procédures d'exploitation documentées";"5.37 Procédures d'exploitation documentées";"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";"27002:2022-8.9 Gestion des configurations";"8.9 Gestion des configurations";;;;;;;;
"5.B.2-EI/EE";"L’entité maintient à jour les bases de connaissances des outils de protection contre les codes malveillants qu’elle utilise (par exemple : la mise à jour de la base antivirale de l’antivirus, la mise à jour des signatures utilisées par la solution d’EDR).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";;"élevé";;"27002:2022-8.7 Protection contre les programmes malveillants (malware)";"8.7 Protection contre les programmes malveillants (malware)";;;;;;;;;;;;
"5.B.3-EI/EE";"L’entité met en œuvre une veille sur les vulnérabilités, les correctifs de sécurité et les mesures d’atténuation préconisées susceptibles de concerner les ressources de ses systèmes d’information, qui sont diffusées notamment par les fournisseurs ou les fabricants de ces ressources, par un prestataire mandaté ou par des centres de prévention et d’alerte en matière de cyber sécurité tels que le CERT-FR (centre gouvernemental de veille, d’alerte et de réponse aux attaques informatiques) ou les CSIRT (centres de réponse aux incidents de sécurité informatique).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";;"élevé";;"27002:2022-5.7 Renseignements sur les menaces";"5.7 Renseignements sur les menaces";"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";;;;;;;;;;
"5.B.4-EI/EE";"L’entité met en œuvre, au regard de la nature de la vulnérabilité :
•	sans délai : les actions visant à l’installation des correctifs de sécurité (par exemple : le déploiement en environnement de test, pré-production et production, mécanismes de rollback) ;
•	sans retard injustifié : l’application effective des correctifs de sécurité après la réalisation des actions précédentes
sur les ressources exposées à des systèmes d’information tiers (par exemple : un serveur Web, un pare-feu exposé sur Internet, un serveur de messagerie) et les postes de travail des utilisateurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";;;;;;;;;;;;
"5.B.5-EE";"L’entité planifie et installe sur l’ensemble de ses ressources, y compris celles non exposées à des systèmes d’information tiers, les correctifs de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteEssentielle";"élevé";;"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";;;;;;;;;;;;
"5.B.6-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation des correctifs de sécurité sur les ressources concernées, l’entité met en œuvre des mesures d’atténuation pour réduire les risques liés à l’utilisation d’une version comportant des vulnérabilités connues (par exemple : isoler la ressource du reste du SI, mettre en place un contrôle d'accès renforcé).";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"5.B.7-EI/EE";"L’entité met en œuvre sans délai les actions visant à l’installation et le maintien à jour des ressources logicielles de ses systèmes d’information, y compris les logiciels embarqués, dans des versions bénéficiant d’un support par leurs fournisseurs ou leurs fabricants et comportant les mises à jour de sécurité.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";"27002:2022-8.19 Installation de logiciels sur des systèmes opérationnels";"8.19 Installation de logiciels sur des systèmes opérationnels";;;;;;;;;;
"5.B.8-EI/EE";"L’entité vérifie que toute nouvelle version d’un logiciel est téléchargée depuis les ressources officielles mises à disposition par les éditeurs ou les fournisseurs.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-8.8 Gestion des vulnérabilités techniques";"8.8 Gestion des vulnérabilités techniques";"27002:2022-8.19 Installation de logiciels sur des systèmes opérationnels";"8.19 Installation de logiciels sur des systèmes opérationnels";;;;;;;;;;
"5.B.9-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas l’installation d’une version supportée par le fournisseur ou l’éditeur, l’entité met en œuvre des mesures pour réduire les risques liés à l’utilisation d’une version obsolète.";"Objectif de sécurité 5: Maitrise des systèmes d'information";"Maintien en condition opérationnelle et de sécurité";"EntiteImportante, EntiteEssentielle";"élevé";;"27001:2022-6.1.2 Appréciation des risques de sécurité de l'information";"6.1.2 Appréciation des risques de sécurité de l'information";"27001:2022-6.1.3 Traitement des risques de sécurité de l'information";"6.1.3 Traitement des risques de sécurité de l'information";"27001:2022-8.2 Appréciation des risques de sécurité de l'information";"8.2 Appréciation des risques de sécurité de l'information";"27001:2022-8.3 Traitement des risques de sécurité de l'information";"8.3 Traitement des risques de sécurité de l'information";;;;;;
"6.1-EI/EE";"L’entité met en place des mesures de sécurité permettant de limiter l’accès de personnes non autorisées à ses locaux, ses salles serveurs et ses locaux techniques (par exemple : tenue d’un registre des visiteurs, badges d’accès, etc).";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteImportante, EntiteEssentielle";"élevé";;"27002:2022-7.1 Périmètres de sécurité physique";"7.1 Périmètres de sécurité physique";"27002:2022-7.2 Les entrées physiques";"7.2 Les entrées physiques";"27002:2022-7.3 Sécurisation des bureaux, des salles et des installations";"7.3 Sécurisation des bureaux, des salles et des installations";"27002:2022-7.4 Surveillance de la sécurité physique";"7.4 Surveillance de la sécurité physique";"27002:2022-7.6 Travail dans les zones sécurisées";"7.6 Travail dans les zones sécurisées";;;;
"6.2-EE";"L’entité s’assure de la protection physique des locaux, salles serveurs et locaux techniques (par exemple : vidéosurveillance, gardiennage, alarme).
Cette protection physique permet de prévenir, de surveiller et de réagir aux accès non autorisés à ces locaux.";"Objectif de sécurité 6: Maitrise des accès physiques aux locaux";"Maîtrise des accès physiques";"EntiteEssentielle";"élevé";;"27002:2022-7.1 Périmètres de sécurité physique";"7.1 Périmètres de sécurité physique";"27002:2022-7.2 Les entrées physiques";"7.2 Les entrées physiques";"27002:2022-7.3 Sécurisation des bureaux, des salles et des installations";"7.3 Sécurisation des bureaux, des salles et des installations";"27002:2022-7.4 Surveillance de la sécurité physique";"7.4 Surveillance de la sécurité physique";"27002:2022-7.6 Travail dans les zones sécurisées";"7.6 Travail dans les zones sécurisées";"27002:2022-7.7 Bureau vide et écran vide";"7.7 Bureau vide et écran vide";"27002:2022-7.8 Emplacement et protection du matériel";"7.8 Emplacement et protection du matériel"
